threshold,ssp,date,GFDL-ESM4_compound_day_total,CNRM-CM6-1_compound_day_total,GISS-E2-1-G_compound_day_total,MRI-ESM2-0_compound_day_total,CESM2_compound_day_total,ACCESS-CM2_compound_day_total,ACCESS-ESM1-5_compound_day_total,FGOALS-g3_compound_day_total,NorESM2-LM_compound_day_total,INM-CM4-8_compound_day_total,EC-Earth3_compound_day_total,CNRM-ESM2-1_compound_day_total,MPI-ESM1-2-LR_compound_day_total,NorESM2-MM_compound_day_total,MPI-ESM1-2-HR_compound_day_total,CMCC-ESM2_compound_day_total,GFDL-CM4_compound_day_total,MIROC-ES2L_compound_day_total,KACE-1-0-G_compound_day_total,INM-CM5-0_compound_day_total,GFDL-ESM4_compound_event_total,CNRM-CM6-1_compound_event_total,GISS-E2-1-G_compound_event_total,MRI-ESM2-0_compound_event_total,CESM2_compound_event_total,ACCESS-CM2_compound_event_total,ACCESS-ESM1-5_compound_event_total,FGOALS-g3_compound_event_total,NorESM2-LM_compound_event_total,INM-CM4-8_compound_event_total,EC-Earth3_compound_event_total,CNRM-ESM2-1_compound_event_total,MPI-ESM1-2-LR_compound_event_total,NorESM2-MM_compound_event_total,MPI-ESM1-2-HR_compound_event_total,CMCC-ESM2_compound_event_total,GFDL-CM4_compound_event_total,MIROC-ES2L_compound_event_total,KACE-1-0-G_compound_event_total,INM-CM5-0_compound_event_total,GFDL-ESM4_compound_sequence_total,CNRM-CM6-1_compound_sequence_total,GISS-E2-1-G_compound_sequence_total,MRI-ESM2-0_compound_sequence_total,CESM2_compound_sequence_total,ACCESS-CM2_compound_sequence_total,ACCESS-ESM1-5_compound_sequence_total,FGOALS-g3_compound_sequence_total,NorESM2-LM_compound_sequence_total,INM-CM4-8_compound_sequence_total,EC-Earth3_compound_sequence_total,CNRM-ESM2-1_compound_sequence_total,MPI-ESM1-2-LR_compound_sequence_total,NorESM2-MM_compound_sequence_total,MPI-ESM1-2-HR_compound_sequence_total,CMCC-ESM2_compound_sequence_total,GFDL-CM4_compound_sequence_total,MIROC-ES2L_compound_sequence_total,KACE-1-0-G_compound_sequence_total,INM-CM5-0_compound_sequence_total,GFDL-ESM4_compound_duration_max,CNRM-CM6-1_compound_duration_max,GISS-E2-1-G_compound_duration_max,MRI-ESM2-0_compound_duration_max,CESM2_compound_duration_max,ACCESS-CM2_compound_duration_max,ACCESS-ESM1-5_compound_duration_max,FGOALS-g3_compound_duration_max,NorESM2-LM_compound_duration_max,INM-CM4-8_compound_duration_max,EC-Earth3_compound_duration_max,CNRM-ESM2-1_compound_duration_max,MPI-ESM1-2-LR_compound_duration_max,NorESM2-MM_compound_duration_max,MPI-ESM1-2-HR_compound_duration_max,CMCC-ESM2_compound_duration_max,GFDL-CM4_compound_duration_max,MIROC-ES2L_compound_duration_max,KACE-1-0-G_compound_duration_max,INM-CM5-0_compound_duration_max,GFDL-ESM4_compound_duration_mean,CNRM-CM6-1_compound_duration_mean,GISS-E2-1-G_compound_duration_mean,MRI-ESM2-0_compound_duration_mean,CESM2_compound_duration_mean,ACCESS-CM2_compound_duration_mean,ACCESS-ESM1-5_compound_duration_mean,FGOALS-g3_compound_duration_mean,NorESM2-LM_compound_duration_mean,INM-CM4-8_compound_duration_mean,EC-Earth3_compound_duration_mean,CNRM-ESM2-1_compound_duration_mean,MPI-ESM1-2-LR_compound_duration_mean,NorESM2-MM_compound_duration_mean,MPI-ESM1-2-HR_compound_duration_mean,CMCC-ESM2_compound_duration_mean,GFDL-CM4_compound_duration_mean,MIROC-ES2L_compound_duration_mean,KACE-1-0-G_compound_duration_mean,INM-CM5-0_compound_duration_mean,mean_day_total,med_day_total,p10_day_total,p90_day_total,mean_event_total,med_event_total,p10_event_total,p90_event_total,mean_sequence_total,med_sequence_total,p10_sequence_total,p90_sequence_total,mean_duration_max,med_duration_max,p10_duration_max,p90_duration_max,mean_duration_mean,med_duration_mean,p10_duration_mean,p90_duration_mean
rzsm>0.7_pr>50,ssp245,2015,21,77,31,27,6,13,22,15,8,18,32,36,23,31,28,18,109,23,23,28,17,77,28,26,5,13,22,14,8,17,29,35,22,31,24,18,109,22,20,24,4,12,5,6,2,3,4,3,3,4,6,7,4,5,4,4,11,5,4,4,7,11,7,7,3,7,6,7,4,5,8,7,9,10,7,6,21,7,7,7,4.25,6.42,5.6,4.33,2.5,4.33,5.5,4.67,2.67,4.25,4.83,5.0,5.5,6.2,6.0,4.5,9.91,4.4,5.0,6.0,29.45,23.0,12.5,40.10000000000006,28.05,22.0,12.5,39.20000000000006,5.0,4.0,3.0,7.400000000000006,7.65,7.0,4.9,10.100000000000001,5.093,4.915,4.0920000000000005,6.222
rzsm>0.7_pr>50,ssp245,2016,47,27,24,36,18,15,3,15,15,25,60,34,14,37,25,55,157,22,13,8,46,26,24,33,18,14,3,12,15,25,58,33,13,35,24,52,155,21,13,8,6,4,5,5,4,4,1,4,4,5,11,8,3,7,6,11,9,4,3,3,17,7,10,10,6,8,3,4,6,7,9,8,6,10,6,8,70,9,6,4,7.67,6.5,4.8,6.6,4.5,3.5,3.0,3.0,3.75,5.0,5.27,4.12,4.33,5.0,4.0,4.73,17.22,5.25,4.33,2.67,32.5,24.5,12.5,55.50000000000001,31.4,24.0,11.600000000000001,52.60000000000001,5.35,4.5,3.0,9.200000000000003,10.7,7.5,4.0,10.70000000000001,5.262,4.615,3.0,6.707000000000002
rzsm>0.7_pr>50,ssp245,2017,17,47,25,26,13,13,33,37,11,5,21,41,25,6,11,39,142,22,12,38,17,47,24,22,13,12,32,37,9,3,21,40,25,6,9,39,141,21,11,36,3,9,4,4,3,3,6,12,3,1,5,7,5,2,3,8,5,5,3,7,7,9,8,8,6,6,9,6,4,3,7,8,10,3,5,8,83,6,4,7,5.67,5.22,6.0,5.5,4.33,4.0,5.33,3.08,3.0,3.0,4.2,5.71,5.0,3.0,3.0,4.88,28.2,4.2,3.67,5.14,29.2,23.5,10.5,41.60000000000001,28.25,21.5,8.700000000000001,40.70000000000001,4.9,4.5,2.9000000000000004,8.100000000000001,10.35,7.0,3.9000000000000004,9.100000000000001,5.6065,4.605,3.0,5.739000000000001
rzsm>0.7_pr>50,ssp245,2018,47,23,14,25,14,35,39,29,30,12,30,20,35,26,24,22,97,16,7,36,44,23,13,24,14,33,36,29,29,11,29,19,35,25,21,20,93,15,6,34,8,5,2,5,5,7,8,6,8,3,7,3,7,5,5,4,11,4,2,6,7,7,7,7,4,8,6,7,6,5,7,8,7,9,8,7,38,6,4,7,5.5,4.6,6.5,4.8,2.8,4.71,4.5,4.83,3.62,3.67,4.14,6.33,5.0,5.0,4.2,5.0,8.45,3.75,3.0,5.67,29.05,25.5,13.8,39.80000000000001,27.65,24.5,12.8,36.80000000000001,5.55,5.0,2.9000000000000004,8.0,8.25,7.0,4.9,8.100000000000001,4.8035000000000005,4.755,3.5580000000000003,6.347
rzsm>0.7_pr>50,ssp245,2019,41,10,34,27,4,62,16,32,37,6,22,21,45,32,33,55,99,32,12,32,40,8,32,25,3,60,15,30,34,6,22,21,44,28,32,52,98,29,12,30,9,3,7,6,1,8,4,6,6,3,5,4,9,6,7,11,7,6,3,6,14,3,7,8,3,14,6,11,9,2,6,8,8,7,7,7,28,7,6,7,4.44,2.67,4.57,4.17,3.0,7.5,3.75,5.0,5.67,2.0,4.4,5.25,4.89,4.67,4.57,4.73,14.0,4.83,4.0,5.0,32.6,32.0,9.600000000000001,55.70000000000001,31.05,29.5,7.800000000000001,52.80000000000001,5.85,6.0,3.0,9.0,8.4,7.0,3.0,14.0,4.955500000000001,4.62,2.967,5.853000000000002
rzsm>0.7_pr>50,ssp245,2020,36,13,47,26,0,39,38,12,42,20,11,33,33,49,20,32,121,12,36,32,35,13,45,26,0,38,36,12,42,19,11,31,32,48,17,31,116,10,34,28,8,3,7,6,0,8,8,3,6,3,3,5,7,9,4,6,15,2,7,5,7,6,10,6,0,10,7,5,10,13,7,9,7,7,7,8,22,7,8,8,4.38,4.33,6.43,4.33,0.0,4.75,4.5,4.0,7.0,6.33,3.67,6.2,4.57,5.33,4.25,5.17,7.73,5.0,4.86,5.6,32.6,32.5,11.9,47.2,31.2,31.0,10.9,45.300000000000004,5.75,6.0,2.9000000000000004,8.100000000000001,8.2,7.0,5.9,10.300000000000004,4.9215,4.805,3.967,6.487000000000001
rzsm>0.7_pr>50,ssp245,2021,8,34,29,16,2,17,19,7,18,8,6,29,9,19,27,23,113,12,29,35,8,33,26,15,0,16,17,6,17,6,5,27,8,16,26,22,111,11,29,34,2,6,6,4,0,3,4,1,3,1,1,5,2,2,6,4,11,3,6,8,5,7,7,7,0,7,6,6,6,6,5,8,6,9,6,8,36,7,6,6,4.0,5.5,4.33,3.75,0.0,5.33,4.25,6.0,5.67,6.0,5.0,5.4,4.0,8.0,4.33,5.5,10.09,3.67,4.83,4.25,23.0,18.5,6.9,34.1,21.65,16.5,5.9,33.1,3.9,3.5,1.0,6.200000000000003,7.7,6.0,5.0,8.100000000000001,4.994999999999999,4.915,3.742,6.200000000000003
rzsm>0.7_pr>50,ssp245,2022,29,29,42,26,15,23,41,22,47,27,40,34,33,12,24,18,83,35,14,28,25,28,40,23,15,23,40,22,47,25,39,32,33,10,22,15,82,35,14,28,4,5,8,5,3,4,9,6,10,5,7,7,7,3,3,3,9,7,3,6,16,6,10,6,7,7,7,7,8,7,9,8,8,6,13,7,24,7,6,8,6.25,5.6,5.0,4.6,5.0,5.75,4.44,3.67,4.7,5.0,5.57,4.57,4.71,3.33,7.33,5.0,9.11,5.0,4.67,4.67,31.1,28.5,14.9,42.50000000000001,29.9,26.5,14.9,40.70000000000001,5.7,5.5,3.0,9.0,8.85,7.0,6.0,13.300000000000004,5.1985,5.0,4.363,6.358000000000001
rzsm>0.7_pr>50,ssp245,2023,35,12,53,28,24,22,36,18,18,36,41,41,38,28,31,19,168,59,21,13,34,12,53,26,22,21,34,16,16,34,37,41,37,28,30,19,165,57,17,12,8,2,9,6,6,3,7,4,5,7,7,10,7,6,5,4,20,10,5,2,7,9,8,6,5,12,8,5,6,7,13,7,10,7,13,6,34,8,6,6,4.25,6.0,5.89,4.33,3.67,7.0,4.86,4.0,3.2,4.86,5.29,4.1,5.29,4.67,6.0,4.75,8.25,5.7,3.4,6.0,37.05,29.5,17.5,53.60000000000001,35.55,29.0,15.600000000000001,53.400000000000006,6.65,6.0,2.9000000000000004,10.0,9.15,7.0,5.9,13.0,5.0755,4.86,3.643,6.100000000000001
rzsm>0.7_pr>50,ssp245,2024,43,6,42,24,17,19,30,23,14,21,39,56,31,21,23,20,94,20,20,37,41,6,41,22,16,19,30,21,13,20,35,56,30,21,22,20,93,19,18,36,9,2,10,5,4,7,8,4,2,4,5,6,8,7,4,4,11,4,4,7,7,4,7,6,6,4,7,7,7,8,13,20,7,6,7,7,30,6,9,12,4.56,3.0,4.1,4.4,4.0,2.71,3.75,5.25,6.5,5.0,7.0,9.33,3.75,3.0,5.5,5.0,8.45,4.75,4.5,5.14,30.0,23.0,16.7,44.30000000000002,28.95,21.5,15.700000000000001,42.50000000000002,5.75,5.0,3.8000000000000003,9.100000000000001,9.0,7.0,5.800000000000001,13.70000000000001,4.9845,4.654999999999999,3.0,7.145000000000002
